X,Y_0,Y_1,W,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
4,,,0.01833507,5,299.21,3,5,,1,1,16319,7
1,,,0.011340659,2,299.28,2,5,,4,3,26390,3
1,,,0.012901724,5,299.32,2,7,,1,2,23200,7
4,,,0.003945793,5,299.32,2,4,,3,2,75858,3
1,,,0.004578879,4,299.39,1,9,,2,5,65385,1
4,,,0.006928702,6,299.41,1,2,,1,3,43213,6
1,,,0.021147437,1,299.49,1,8,,5,3,14162,3
5,,,0.011486751,3,299.54,2,9,,2,4,26077,4
2,,,0.020008679,5,299.69,2,9,,1,2,14978,6
1,,,0.011067789,2,299.76,1,9,,1,3,27084,6
2,,,0.01002877,5,299.78,2,9,,2,2,29892,1
1,,,0.01633021,2,299.79,4,8,,2,2,18358,4
1,,,0.009805711,3,299.79,2,9,,1,2,30573,6
1,,,0.015359082,5,299.84,4,7,,1,2,19522,6
1,,,0.004476658,2,299.86,1,4,,2,2,66983,1
1,,,0.013955696,3,299.88,4,9,,2,2,21488,4
1,,,0.024442634,1,299.96,1,7,,1,2,12272,7
1,,,0.007285003,2,299.96,1,9,,2,4,41175,1
1,,,0.032236786,5,300.06,3,5,,1,1,9308,7
1,,,0.013984714,3,300.07,4,9,,4,3,21457,4
1,,,0.008741917,3,300.11,1,9,,1,4,34330,7
1,,,0.004914297,2,300.18,1,9,,5,4,61083,3
1,,,0.017471057,5,300.31,3,5,,1,1,17189,7
1,,,0.007997819,5,300.63,3,5,,3,2,37589,1
1,,,0.019153988,5,300.89,4,6,,1,2,15709,7
1,,,0.009599298,4,300.89,1,9,,4,3,31345,3
1,,,0.023053236,2,300.96,4,9,,2,2,13055,2
4,,,0.007579711,6,300.96,2,3,,2,1,39706,1
5,,,0.024805901,3,300.97,4,9,,2,3,12133,4
1,,,0.0231142,5,300.97,4,6,,1,2,13021,6
1,,,0.013475692,5,301.02,3,6,,5,3,22338,3
1,,,0.01967015,5,301.15,3,5,,3,2,15310,4
1,,,0.019476816,2,301.17,4,7,,2,1,15463,2
1,,,0.004390653,2,301.19,1,9,,1,4,68598,6
4,,,0.009029147,6,301.42,2,3,,2,1,33383,1
2,,,0.014192865,3,301.57,4,9,,2,3,21248,1
2,,,0.040606835,2,301.79,2,8,,2,1,7432,1
2,,,0.004193759,5,301.85,2,4,,2,1,71976,1
2,,,0.030241435,5,301.87,3,6,,1,2,9982,6
2,,,0.013299119,5,301.89,1,7,,1,3,22700,7
1,,,0.015329949,5,302,3,5,,1,2,19700,6
3,,,0.004759226,6,302.03,1,2,,3,3,63462,3
1,,,0.018007868,1,302.1,4,9,,2,3,16776,4
