X,Y_0,Y_1,W,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
1,9648.3,19.0808,0.0649,2,438.0,1,6,0,2,2,13436,2
2,12860.3,19.0618,0.0799,3,652.0,4,9,0,2,3,14845,4
2,7795.5,18.9085,0.0477,2,353.9,3,5,1,1,3,13720,7
2,12840.6,18.9491,0.034,3,583.0,1,6,0,4,3,33947,3
2,6894.5,19.1476,0.0275,2,313.0,3,5,0,5,3,31926,3
1,21062.7,18.7757,0.05,3,956.2,1,3,1,2,5,28563,1
2,17993.1,18.9473,0.0675,4,816.9,1,5,0,2,3,18459,2
2,9733.0,19.2113,0.0316,5,493.5,4,9,0,1,1,19656,6
2,11042.4,19.2325,0.0833,5,559.8,4,6,0,1,1,10016,7
2,12348.6,18.7981,0.12,3,626.1,1,4,1,1,3,8665,6
2,14014.3,18.8494,0.0126,4,636.2,1,5,1,2,5,91187,1
2,10354.1,19.0205,0.0189,2,470.1,1,9,0,3,4,51289,3
2,9306.9,19.0622,0.0251,3,471.9,1,5,0,4,4,42648,3
2,13271.5,19.1344,0.0458,2,672.9,4,7,0,5,3,28877,3
2,11209.9,19.1203,0.0638,2,568.3,3,4,0,5,2,18134,3
2,17321.2,18.8748,0.0903,4,878.2,1,5,1,2,5,17775,1
2,7780.3,18.9304,0.0495,2,353.2,1,7,0,2,4,16019,2
2,11100.3,19.0462,0.0228,1,562.8,4,4,0,3,3,49161,1
1,7680.1,19.2406,0.0366,2,389.4,2,5,0,3,4,27811,3
2,13099.0,18.9161,0.0594,3,594.7,1,4,0,5,3,23722,3
2,9329.7,19.022,0.04,3,423.6,3,5,0,2,2,20522,4
2,12561.7,18.9193,0.0268,4,570.3,1,8,0,4,4,43325,3
1,5074.5,19.2315,0.0432,5,257.3,4,4,0,3,3,18251,5
2,16664.7,19.0825,0.1179,2,844.9,3,4,0,3,2,8117,1
2,10938.2,18.7247,0.0297,3,496.6,1,6,1,1,4,28417,7
2,12178.3,18.9746,0.0236,2,552.9,1,9,0,3,2,42797,3
1,11383.2,19.1235,0.0292,2,577.1,2,4,0,4,2,39202,4
2,7822.1,18.8656,0.0473,5,355.1,3,5,1,1,3,13714,7
1,6770.1,19.1341,0.0549,3,307.4,2,5,0,1,5,9352,6
2,9286.9,19.0876,0.072,2,421.6,1,5,0,2,3,11645,4
1,10801.0,19.2469,0.0724,6,547.6,4,4,0,3,3,14889,4
2,16270.5,19.0082,0.0521,2,738.7,3,5,1,1,3,21301,7
2,7665.1,19.1437,0.0895,2,388.6,3,9,0,1,1,8338,6
2,14776.0,19.0326,0.0867,4,749.1,2,9,0,4,5,19207,4
2,9698.4,19.0695,0.0784,3,491.7,3,5,0,2,2,11657,4
1,13173.7,19.0683,0.0481,2,667.9,2,3,0,4,3,26873,4
2,8864.4,18.7914,0.0267,4,402.4,1,5,1,1,5,29246,7
2,11006.9,19.1601,0.0475,3,499.7,3,5,0,1,1,16306,7
1,11890.9,19.0691,0.0345,3,539.8,2,8,0,3,3,32002,3
2,14148.3,18.9197,0.0753,2,717.3,2,5,1,1,4,15352,7
1,9954.8,19.1131,0.0665,5,504.7,1,6,0,1,2,12230,6
2,11710.5,19.0006,0.0451,4,531.7,1,7,0,2,3,20775,2
2,14481.8,18.9613,0.0223,3,657.5,1,4,0,4,4,57038,5
1,13445.9,19.1177,0.0412,4,610.4,1,5,0,2,4,25195,2
2,10056.7,18.9556,0.0457,4,509.9,1,8,0,2,2,19931,2
1,19702.7,18.8788,0.0317,4,894.5,1,4,1,2,5,46481,2
2,11276.2,19.2242,0.1096,1,511.9,3,5,0,2,2,8104,1
1,13920.5,18.9902,0.0751,2,705.8,2,3,0,3,3,16267,4
1,14499.4,19.1237,0.0241,1,735.1,3,6,0,4,4,50494,2
2,9496.8,19.1633,0.0737,2,431.2,4,9,0,2,3,12940,5
2,7568.3,19.1113,0.0472,1,343.6,4,5,0,1,1,13716,7
2,7514.2,19.1888,0.0647,2,381.0,4,6,0,2,3,12979,4
1,12271.3,19.0875,0.03,2,557.1,2,2,0,2,2,30890,1
1,6360.3,19.1229,0.0328,3,322.5,4,8,0,1,2,15020,7
1,8158.2,18.8461,0.0642,6,370.4,2,3,1,1,4,12277,6
1,19501.1,18.817,0.0354,4,885.3,1,1,1,2,5,47512,2
2,16787.6,19.013,0.0565,3,762.2,4,8,0,4,4,26630,1
2,13124.8,19.0735,0.0491,3,595.9,4,5,0,4,2,22470,3
2,11795.9,19.1897,0.0571,1,598.1,3,5,0,4,2,22828,4
1,10283.8,19.2164,0.0359,5,521.4,2,6,0,5,2,31499,3
1,12334.9,19.1203,0.0617,3,625.4,3,5,0,2,1,16778,1
1,12852.0,19.0688,0.2392,2,583.5,3,6,1,2,4,4304,5
1,11318.6,19.1659,0.046,2,513.9,2,3,0,4,3,23724,3
2,15607.4,18.8022,0.0373,4,708.6,1,8,1,2,5,31960,2
2,15272.2,19.0728,0.0567,1,693.4,2,6,0,4,3,21645,4
2,14351.1,18.9116,0.0427,3,651.5,1,9,0,4,2,26884,3
1,12925.6,19.1926,0.0261,5,586.8,1,5,0,3,2,39162,3
1,17828.5,18.9372,0.0136,3,809.4,1,5,1,2,5,97887,1
2,8458.4,19.1513,0.0556,3,428.8,3,5,0,1,2,13369,6
2,11427.9,19.2049,0.0653,3,579.4,3,4,0,3,2,15925,2
1,8906.5,19.2158,0.0606,3,451.6,2,5,0,3,2,17441,4
1,17013.4,19.2379,0.0999,6,772.4,2,4,0,1,2,10777,6
2,17414.5,19.0748,0.0332,2,882.9,1,5,0,5,4,48031,3
2,7034.3,19.0863,0.0515,2,356.6,2,9,0,2,2,14700,2
2,10359.7,19.266,0.0772,2,525.2,3,5,0,4,5,15954,3
2,9660.8,19.0975,0.0596,2,438.6,3,5,0,1,1,11386,7
2,13787.4,18.9069,0.0625,1,625.9,1,8,1,1,3,15138,7
2,11143.9,18.9252,0.035,4,505.9,1,6,0,2,3,26297,2
1,11057.6,19.1692,0.0341,3,502.0,4,5,0,1,2,24254,7
1,20244.4,18.7897,0.0369,4,919.1,1,4,1,1,5,37038,7
1,15744.7,19.0037,0.0171,2,714.8,1,2,0,2,4,68360,1
1,13232.0,19.2168,0.02,2,600.7,2,8,0,2,2,47882,1
2,9428.7,19.309,0.0735,5,478.0,3,6,0,2,1,12854,1
2,18180.6,18.87,0.0279,3,825.4,1,3,0,3,4,48178,3
1,20071.2,19.0147,0.0561,4,911.2,1,4,0,2,4,25721,2
2,12337.8,19.0645,0.0374,2,560.1,1,5,0,2,4,28646,2
1,10254.7,19.1697,0.0921,5,519.9,4,9,0,1,2,9581,7
2,15106.7,19.019,0.0494,3,765.9,1,6,0,2,3,26513,2
2,9988.2,19.0818,0.0344,1,453.5,2,4,0,3,3,27508,3
2,9386.9,19.2963,0.0626,5,475.9,3,5,0,3,2,14918,3
2,14666.5,18.921,0.0342,3,665.9,1,4,1,2,4,33141,5
1,12481.6,19.1725,0.0216,4,566.7,1,8,0,2,4,46404,1
2,11008.6,18.9844,0.1315,3,558.1,1,5,0,2,4,7938,4
2,6133.2,19.326,0.0664,5,278.4,4,6,0,2,1,8519,2
1,18453.9,19.0485,0.0376,3,837.8,1,4,0,2,4,36895,2
2,8829.8,18.9206,0.0324,3,400.9,1,8,0,3,4,28708,3
1,7837.4,18.9704,0.05,5,355.8,3,4,1,1,2,13246,6
1,10680.4,18.8601,0.083,1,541.5,2,7,1,1,3,11474,6
1,15729.5,19.0911,0.0793,1,714.1,1,5,0,3,4,17273,3
2,13089.4,19.1067,0.0431,3,663.6,4,4,0,3,3,27619,3
1,8424.5,19.1549,0.035,2,427.1,2,5,0,4,4,30323,4
2,13086.3,19.1336,0.1344,3,663.5,4,5,0,4,2,8645,3
2,8717.1,19.1206,0.0555,5,442.0,4,6,0,4,2,17168,3
2,18305.6,18.7886,0.0174,4,831.1,1,9,1,2,5,81268,1
1,8343.9,19.0338,0.0314,6,378.8,1,3,0,1,2,22518,6
1,12795.9,19.0443,0.0323,3,580.9,2,7,0,2,3,31407,1
2,12063.5,19.0524,0.0605,4,611.6,4,9,0,5,5,23956,3
2,12108.9,18.9686,0.0382,3,613.9,1,4,0,2,3,27807,1
1,13890.0,18.987,0.0356,5,630.6,1,4,0,4,4,36182,3
2,6678.9,18.844,0.0375,3,338.6,4,9,1,1,3,14612,6
2,13570.9,18.822,0.0346,4,616.1,1,7,1,2,5,28822,2
2,8823.4,19.0189,0.0347,3,400.6,2,6,0,4,5,30622,3
2,12677.4,19.0164,0.0213,3,575.6,1,6,0,2,2,44060,1
1,12932.2,19.1279,0.0537,1,655.7,2,4,0,5,4,29080,3
2,13518.4,18.9405,0.037,3,613.7,1,3,0,2,3,27812,1
1,11506.8,19.1719,0.0467,2,583.4,1,4,0,2,2,21887,2
1,11405.3,18.9509,0.0892,2,578.2,3,6,1,1,4,10486,7
1,13911.9,18.7627,0.0866,4,631.6,1,2,1,2,5,16005,2
2,14277.7,19.0878,0.0821,5,723.9,3,8,0,1,2,13345,6
2,11591.9,19.0548,0.0368,3,587.7,4,6,0,2,2,27124,2
2,7255.9,19.066,0.0107,5,329.4,1,9,0,2,2,64779,1
1,12577.6,19.1009,0.0559,2,637.7,2,3,0,3,2,20691,4
1,12435.9,19.185,0.1623,2,630.5,2,3,0,5,2,7696,3
1,14093.0,19.0246,0.0208,2,639.8,1,2,0,3,2,52679,1
1,8860.2,19.2028,0.0209,2,402.3,2,8,0,2,1,32481,1
1,18398.0,18.9001,0.0289,4,835.3,1,4,1,2,5,47831,1
1,12203.9,19.3322,0.0728,1,618.7,4,5,0,3,4,18029,1
2,9375.9,18.9873,0.0401,2,425.7,1,4,0,2,3,21712,4
2,12840.5,19.063,0.0533,2,651.0,2,5,0,4,3,25149,3
2,12047.6,18.9864,0.0951,3,547.0,1,6,0,2,2,10769,4
2,10889.5,19.1771,0.0531,5,494.4,4,5,0,1,1,14683,7
1,6470.4,19.1285,0.0696,1,328.0,4,5,0,1,1,9513,7
2,10258.1,19.0583,0.0583,1,520.1,2,7,0,3,3,17276,4
1,12256.9,19.1029,0.0637,3,556.5,2,6,0,1,2,13120,6
2,17698.9,19.1839,0.0546,2,803.5,2,9,0,4,2,23900,3
2,12392.8,19.0355,0.0588,3,628.3,1,4,0,2,3,18917,2
1,12232.9,19.0504,0.0777,2,555.4,1,3,0,4,5,15503,3
2,12617.0,19.1768,0.0719,5,639.7,3,6,0,1,1,12655,6
1,10748.1,18.9123,0.1585,3,488.0,1,6,1,1,4,5184,7
1,12127.1,19.2533,0.0737,1,550.6,2,8,0,1,1,10390,6
2,4620.6,19.2621,0.0359,5,209.8,2,9,0,1,1,12348,6
2,11854.8,18.9973,0.054,3,538.2,1,5,0,2,3,18509,2
1,13783.2,18.8705,0.036,4,625.8,1,8,1,2,5,33993,2
1,8556.4,18.9869,0.0181,3,388.5,1,4,0,2,3,45352,1
2,13751.3,18.7465,0.0734,1,624.3,1,5,1,1,5,11419,7
2,21734.5,18.7742,0.0297,2,986.7,1,4,1,3,5,55150,1
2,16101.5,19.0701,0.0375,3,731.0,1,6,0,2,4,33533,4
2,8785.6,18.9797,0.0537,3,445.4,1,5,0,4,3,21892,3
1,10168.3,19.2226,0.0507,5,515.5,3,4,0,2,3,18472,5
1,11000.5,19.2097,0.029,2,499.4,3,5,0,5,5,44058,3
1,6186.6,19.1821,0.0447,6,280.9,2,2,0,4,1,15696,3
1,9514.0,19.1579,0.0181,2,431.9,2,3,0,2,3,47825,5
